epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1978.6,0.84551,0.44777,0.92789,0.9966,1,0.995,0.82052,0.75528,0.35124,0.91366,0.005644,0.005644,0.005644
46,2021.54,0.83611,0.44406,0.92883,0.99363,1,0.995,0.82775,0.74315,0.33835,0.90578,0.005545,0.005545,0.005545
47,2065.72,0.83635,0.44025,0.92352,0.99548,1,0.995,0.81134,0.78579,0.34566,0.92118,0.005446,0.005446,0.005446
48,2109.68,0.84317,0.45023,0.92347,0.99302,1,0.9934,0.8126,0.7692,0.35407,0.91504,0.005347,0.005347,0.005347
49,2153.83,0.82703,0.43453,0.92336,0.99286,0.99645,0.99259,0.82128,0.74766,0.33759,0.9075,0.005248,0.005248,0.005248
50,2195.76,0.83344,0.43127,0.92306,0.99478,0.99913,0.995,0.81713,0.75541,0.34636,0.90827,0.005149,0.005149,0.005149
51,2239.97,0.83771,0.43809,0.92094,0.99364,1,0.995,0.82699,0.74966,0.34609,0.90905,0.00505,0.00505,0.00505
52,2284.94,0.81865,0.43544,0.92365,0.99774,1,0.995,0.81857,0.75418,0.34153,0.91289,0.004951,0.004951,0.004951
53,2329.19,0.82499,0.4299,0.92437,0.99747,1,0.995,0.82305,0.74007,0.33404,0.90459,0.004852,0.004852,0.004852
54,2373.87,0.81472,0.42574,0.9169,0.99571,1,0.995,0.81698,0.75881,0.33459,0.91152,0.004753,0.004753,0.004753
55,2417.56,0.81625,0.42538,0.91735,0.99567,1,0.995,0.8262,0.72791,0.32267,0.90131,0.004654,0.004654,0.004654
56,2461.88,0.81085,0.41842,0.92032,0.99702,1,0.995,0.82704,0.73873,0.3312,0.90789,0.004555,0.004555,0.004555
57,2505.15,0.81349,0.41942,0.91988,0.9942,0.99893,0.995,0.82559,0.73736,0.32687,0.90429,0.004456,0.004456,0.004456
58,2549.02,0.81746,0.41663,0.92113,0.99398,1,0.995,0.82058,0.73796,0.32808,0.90757,0.004357,0.004357,0.004357
59,2592.41,0.80392,0.4111,0.92088,0.99572,1,0.995,0.82669,0.71867,0.31903,0.90075,0.004258,0.004258,0.004258
60,2635.96,0.8036,0.40942,0.91574,0.99506,1,0.995,0.82729,0.7323,0.32503,0.9051,0.004159,0.004159,0.004159
61,2680.86,0.80426,0.40573,0.91225,0.99595,1,0.995,0.82424,0.75487,0.32767,0.9099,0.00406,0.00406,0.00406
62,2725.99,0.79543,0.40027,0.90807,0.99482,1,0.995,0.82934,0.74006,0.31557,0.90342,0.003961,0.003961,0.003961
63,2769.33,0.80311,0.40277,0.91833,0.99767,1,0.995,0.82553,0.75883,0.32099,0.91095,0.003862,0.003862,0.003862
64,2813.11,0.80077,0.3999,0.91489,0.99561,1,0.995,0.8264,0.73496,0.31767,0.90298,0.003763,0.003763,0.003763
65,2856.88,0.79313,0.39336,0.91212,0.99696,1,0.995,0.84132,0.71309,0.30683,0.89832,0.003664,0.003664,0.003664
66,2900.09,0.79508,0.39315,0.91012,0.99673,1,0.995,0.83966,0.71458,0.30538,0.89974,0.003565,0.003565,0.003565
67,2943.57,0.78324,0.39185,0.91264,0.99733,1,0.995,0.83311,0.72514,0.30742,0.90095,0.003466,0.003466,0.003466
68,2988.52,0.78288,0.3927,0.91059,0.9973,1,0.995,0.8363,0.72354,0.30416,0.8983,0.003367,0.003367,0.003367
69,3031.55,0.77692,0.38784,0.90252,0.99627,1,0.995,0.83398,0.71265,0.30284,0.89428,0.003268,0.003268,0.003268
70,3074.98,0.77395,0.37887,0.90946,0.99668,1,0.995,0.83554,0.73072,0.31094,0.90028,0.003169,0.003169,0.003169
71,3119.67,0.77044,0.38143,0.90541,0.9975,1,0.995,0.83891,0.71726,0.29829,0.89581,0.00307,0.00307,0.00307
72,3163.76,0.77605,0.38608,0.90533,0.99785,1,0.995,0.83552,0.70865,0.3004,0.89539,0.002971,0.002971,0.002971
73,3208.49,0.7632,0.3808,0.89625,0.99675,1,0.995,0.83441,0.72366,0.30118,0.8976,0.002872,0.002872,0.002872
74,3251.82,0.77036,0.37722,0.90368,0.99593,1,0.995,0.83251,0.71053,0.30114,0.89205,0.002773,0.002773,0.002773
75,3296.27,0.76962,0.38057,0.90075,0.99687,1,0.995,0.83964,0.71313,0.29722,0.89382,0.002674,0.002674,0.002674
76,3340.3,0.75658,0.36741,0.90673,0.99704,1,0.995,0.8343,0.71412,0.29765,0.89769,0.002575,0.002575,0.002575
77,3383.27,0.76426,0.36926,0.90106,0.99679,1,0.995,0.84125,0.69255,0.29785,0.88957,0.002476,0.002476,0.002476
78,3426.74,0.75335,0.36802,0.90849,0.99814,1,0.995,0.83351,0.71474,0.29579,0.89612,0.002377,0.002377,0.002377
