                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.85645,                0.46315,                0.93379,                0.99221,                0.99749,                0.99333,                0.81098,                0.79857,                0.36534,                0.92403,               0.006436,               0.006436,               0.006436
                     38,                0.85849,                0.46014,                0.93354,                0.99545,                      1,                  0.995,                0.82484,                0.76472,                0.35172,                0.91566,               0.006337,               0.006337,               0.006337
                     39,                0.83594,                0.45229,                0.92831,                 0.9967,                      1,                  0.995,                0.82136,                  0.765,                0.34422,                0.91831,               0.006238,               0.006238,               0.006238
                     40,                 0.8331,                0.44253,                0.93086,                0.99524,                      1,                  0.995,                0.81538,                0.79227,                 0.3657,                0.92439,               0.006139,               0.006139,               0.006139
                     41,                0.83855,                0.44477,                0.92714,                0.99083,                0.99645,                0.99227,                0.82342,                0.75366,                0.33867,                0.91547,                0.00604,                0.00604,                0.00604
                     42,                0.83444,                0.44753,                0.92976,                0.99145,                  0.997,                0.99295,                0.82371,                0.74331,                0.33284,                0.91451,               0.005941,               0.005941,               0.005941
                     43,                  0.837,                0.43808,                0.92653,                0.99566,                      1,                  0.995,                0.82024,                0.75982,                0.33867,                0.91458,               0.005842,               0.005842,               0.005842
                     44,                0.82085,                0.43845,                0.92329,                0.99666,                      1,                  0.995,                0.81974,                 0.7667,                0.33952,                0.91473,               0.005743,               0.005743,               0.005743
                     45,                0.82283,                0.43188,                 0.9197,                 0.9954,                0.99974,                  0.995,                0.82348,                0.75566,                0.34532,                0.91475,               0.005644,               0.005644,               0.005644
                     46,                0.82412,                0.43592,                0.91798,                0.99493,                      1,                  0.995,                 0.8297,                0.74389,                 0.3219,                0.90661,               0.005545,               0.005545,               0.005545
                     47,                0.84344,                0.43884,                0.92408,                0.99571,                      1,                  0.995,                0.83933,                0.72744,                0.33599,                0.90746,               0.005446,               0.005446,               0.005446
                     48,                0.81191,                0.42554,                0.91895,                0.99761,                      1,                  0.995,                0.83739,                0.73684,                0.32834,                 0.9057,               0.005347,               0.005347,               0.005347
                     49,                 0.8115,                 0.4251,                0.92222,                 0.9938,                      1,                  0.995,                  0.831,                0.74008,                0.32763,                0.91116,               0.005248,               0.005248,               0.005248
                     50,                0.81665,                0.42502,                0.91182,                0.99668,                      1,                  0.995,                0.83324,                0.72581,                0.32858,                0.90302,               0.005149,               0.005149,               0.005149
                     51,                0.80582,                0.42068,                0.91296,                 0.9963,                      1,                  0.995,                0.82691,                0.72293,                0.32026,                0.90331,                0.00505,                0.00505,                0.00505
                     52,                0.80017,                 0.4123,                0.91864,                0.99615,                      1,                  0.995,                0.82843,                0.74631,                0.33086,                0.91109,               0.004951,               0.004951,               0.004951
                     53,                0.80462,                0.41552,                0.91953,                  0.997,                      1,                  0.995,                0.83753,                0.72372,                0.31998,                0.90542,               0.004852,               0.004852,               0.004852
                     54,                0.80169,                0.41433,                0.91437,                0.99601,                      1,                  0.995,                0.83699,                0.71746,                0.31941,                 0.8987,               0.004753,               0.004753,               0.004753
                     55,                0.79886,                0.40463,                0.91786,                0.99652,                      1,                  0.995,                0.83274,                0.72275,                0.32055,                0.89838,               0.004654,               0.004654,               0.004654
                     56,                0.78949,                 0.4043,                0.91521,                0.99641,                      1,                  0.995,                0.82993,                 0.7308,                0.32286,                0.90447,               0.004555,               0.004555,               0.004555
                     57,                0.79517,                0.39698,                0.91464,                0.99693,                      1,                  0.995,                 0.8314,                0.74248,                0.31784,                0.91285,               0.004456,               0.004456,               0.004456
                     58,                0.79345,                0.39315,                0.90865,                0.99279,                0.99645,                0.99303,                0.83675,                0.73547,                0.32148,                0.90569,               0.004357,               0.004357,               0.004357
                     59,                 0.7843,                0.39857,                0.90454,                0.99605,                      1,                  0.995,                 0.8287,                0.72922,                0.31591,                0.90121,               0.004258,               0.004258,               0.004258
                     60,                 0.8012,                0.39972,                0.90882,                0.99592,                      1,                  0.995,                0.83174,                0.73103,                0.31028,                 0.9006,               0.004159,               0.004159,               0.004159
                     61,                0.78027,                 0.3926,                0.90597,                0.99287,                0.99645,                0.99114,                0.83718,                0.72805,                 0.3091,                0.90883,                0.00406,                0.00406,                0.00406
                     62,                0.78079,                0.38853,                 0.9035,                 0.9962,                      1,                  0.995,                0.83794,                0.71531,                0.30865,                0.89587,               0.003961,               0.003961,               0.003961
                     63,                0.78178,                0.38876,                0.90491,                0.99571,                      1,                  0.995,                0.84155,                0.71289,                0.30454,                 0.8992,               0.003862,               0.003862,               0.003862
                     64,                0.77688,                0.39435,                0.90834,                0.99507,                      1,                  0.995,                0.83131,                0.72672,                0.31571,                0.89898,               0.003763,               0.003763,               0.003763
                     65,                0.77478,                0.38672,                0.90279,                 0.9961,                      1,                  0.995,                 0.8342,                0.70569,                0.30943,                0.89654,               0.003664,               0.003664,               0.003664
                     66,                0.77051,                 0.3889,                0.90158,                0.99601,                      1,                  0.995,                0.82793,                0.75256,                0.30876,                0.90795,               0.003565,               0.003565,               0.003565
                     67,                0.77637,                0.38124,                0.90423,                0.99602,                      1,                  0.995,                0.83562,                0.73512,                 0.3074,                0.90639,               0.003466,               0.003466,               0.003466
                     68,                0.78041,                0.38343,                0.90361,                0.99364,                      1,                  0.995,                0.84024,                 0.7119,                0.30197,                0.89448,               0.003367,               0.003367,               0.003367
                     69,                0.74932,                0.37398,                0.90067,                0.99571,                      1,                  0.995,                0.84107,                0.70953,                0.30043,                  0.897,               0.003268,               0.003268,               0.003268
                     70,                0.75817,                0.37286,                0.89713,                0.99705,                      1,                  0.995,                0.83178,                0.73467,                0.30827,                0.90569,               0.003169,               0.003169,               0.003169
                     71,                0.76657,                0.37739,                0.90401,                0.99687,                      1,                  0.995,                0.83716,                0.73171,                0.30866,                0.90386,                0.00307,                0.00307,                0.00307
                     72,                 0.7518,                0.36968,                0.89681,                0.99705,                      1,                  0.995,                0.84261,                0.71719,                0.30482,                0.89378,               0.002971,               0.002971,               0.002971
                     73,                0.74915,                0.36831,                0.89623,                0.99582,                      1,                  0.995,                0.84085,                0.70965,                0.29298,                0.89613,               0.002872,               0.002872,               0.002872
                     74,                0.74694,                0.36434,                0.89619,                0.99506,                      1,                  0.995,                0.84419,                 0.7152,                0.28779,                0.89741,               0.002773,               0.002773,               0.002773
                     75,                0.74251,                0.36726,                0.89246,                0.99585,                      1,                  0.995,                0.83881,                0.71778,                0.29802,                0.89904,               0.002674,               0.002674,               0.002674
                     76,                0.73973,                0.36307,                0.90035,                0.99656,                      1,                  0.995,                0.83863,                0.71478,                0.29562,                0.89751,               0.002575,               0.002575,               0.002575
                     77,                0.75203,                0.36206,                0.89392,                0.99419,                      1,                  0.995,                0.84344,                0.71784,                0.29405,                0.89851,               0.002476,               0.002476,               0.002476
                     78,                0.73904,                 0.3602,                0.89671,                0.99681,                      1,                  0.995,                0.84527,                0.71458,                0.29396,                0.89599,               0.002377,               0.002377,               0.002377
                     79,                 0.7399,                0.35965,                0.89318,                0.99708,                      1,                  0.995,                0.84405,                0.71162,                0.29298,                0.89566,               0.002278,               0.002278,               0.002278
                     80,                0.73473,                0.35525,                0.89092,                0.99744,                      1,                  0.995,                0.84727,                0.70802,                0.28625,                0.89461,               0.002179,               0.002179,               0.002179
                     81,                0.72969,                0.35216,                0.88827,                0.99641,                      1,                  0.995,                0.84252,                0.69913,                 0.2894,                0.89074,                0.00208,                0.00208,                0.00208
                     82,                0.73435,                0.34785,                0.90067,                0.99673,                      1,                  0.995,                0.83406,                0.71635,                0.28645,                0.89884,               0.001981,               0.001981,               0.001981
                     83,                0.73133,                0.34905,                0.89315,                0.99786,                      1,                  0.995,                 0.8451,                0.70522,                0.28263,                0.89693,               0.001882,               0.001882,               0.001882
                     84,                0.72452,                0.34344,                0.89219,                0.99725,                      1,                  0.995,                0.84586,                0.71092,                0.28383,                0.89437,               0.001783,               0.001783,               0.001783
                     85,                0.71858,                 0.3408,                0.89291,                0.99751,                      1,                  0.995,                0.85198,                0.69737,                0.27937,                0.89086,               0.001684,               0.001684,               0.001684
                     86,                0.72204,                0.34366,                0.89137,                0.99748,                      1,                  0.995,                0.84449,                0.69365,                0.27992,                0.89067,               0.001585,               0.001585,               0.001585
                     87,                0.71092,                0.33794,                0.88964,                0.99668,                      1,                  0.995,                0.84738,                0.70593,                0.28228,                0.89364,               0.001486,               0.001486,               0.001486
                     88,                0.70282,                0.33296,                0.88293,                0.99714,                      1,                  0.995,                 0.8471,                0.69916,                0.28442,                0.89136,               0.001387,               0.001387,               0.001387
                     89,                0.70954,                0.33236,                0.88398,                0.99704,                      1,                  0.995,                0.84598,                0.69945,                0.28325,                0.89321,               0.001288,               0.001288,               0.001288
                     90,                0.71367,                0.33633,                0.88889,                0.99669,                      1,                  0.995,                0.84777,                 0.7069,                0.28059,                0.89772,               0.001189,               0.001189,               0.001189
                     91,                0.68104,                0.30206,                0.89499,                0.99661,                0.99828,                  0.995,                0.84251,                0.70236,                 0.2855,                0.89581,                0.00109,                0.00109,                0.00109
                     92,                0.67295,                0.29487,                0.88722,                0.99718,                0.99856,                  0.995,                0.84447,                0.69578,                0.27878,                0.89108,               0.000991,               0.000991,               0.000991
                     93,                0.67295,                 0.2923,                0.89067,                0.99745,                      1,                  0.995,                0.84872,                0.68861,                0.28042,                0.88917,               0.000892,               0.000892,               0.000892
                     94,                 0.6682,                0.28891,                0.88926,                0.99738,                      1,                  0.995,                0.85487,                0.68238,                0.27501,                0.88691,               0.000793,               0.000793,               0.000793
                     95,                0.66362,                0.28752,                0.89077,                0.99655,                      1,                  0.995,                0.84679,                0.69602,                 0.2755,                0.89106,               0.000694,               0.000694,               0.000694
                     96,                0.65476,                0.28702,                0.88364,                0.99705,                      1,                  0.995,                0.84981,                 0.6924,                0.27553,                0.89042,               0.000595,               0.000595,               0.000595
                     97,                0.65081,                 0.2839,                0.88161,                0.99679,                      1,                  0.995,                0.85128,                0.69379,                0.27455,                0.88976,               0.000496,               0.000496,               0.000496
                     98,                 0.6527,                 0.2825,                0.88642,                 0.9972,                      1,                  0.995,                 0.8503,                0.68921,                0.27139,                0.88773,               0.000397,               0.000397,               0.000397
                     99,                0.65572,                0.28116,                 0.8843,                0.99788,                      1,                  0.995,                 0.8512,                  0.689,                0.26958,                0.88823,               0.000298,               0.000298,               0.000298
                    100,                0.64194,                0.27312,                0.87983,                0.99792,                      1,                  0.995,                0.85073,                0.69044,                0.26958,                 0.8879,               0.000199,               0.000199,               0.000199
