                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.89753,                0.52585,                0.95125,                 1.0267,                0.51916,                0.98187,                0.94835,                0.97359,                0.98463,                0.77955,                0.80578,                0.42259,                0.94487,                0.83364,                0.30756,                0.96498,               0.007723,               0.007723,               0.007723
                     26,                0.88512,                0.51369,                  0.949,                   1.02,                0.53034,                0.98625,                0.94822,                0.98157,                0.98927,                0.79336,                0.77226,                0.39086,                0.92267,                0.82661,                0.31133,                0.94814,               0.007624,               0.007624,               0.007624
                     27,                0.88524,                0.51197,                0.94508,                 1.0055,                0.52308,                0.97494,                0.98419,                0.96863,                0.99301,                0.79427,                0.77632,                 0.4128,                0.92719,                0.81013,                0.28994,                0.94871,               0.007525,               0.007525,               0.007525
                     28,                0.88192,                0.50939,                0.94672,                 1.0192,                0.50437,                0.98233,                0.94691,                0.98432,                0.98779,                0.78217,                0.78622,                0.40136,                0.93083,                0.83676,                0.30296,                0.96019,               0.007426,               0.007426,               0.007426
                     29,                0.88548,                0.49863,                0.94751,                 1.0063,                 0.4901,                0.97318,                0.96817,                0.97112,                0.99392,                0.77518,                0.81104,                0.40059,                0.93897,                0.86157,                0.29604,                0.95752,               0.007327,               0.007327,               0.007327
                     30,                0.87716,                0.50041,                0.94576,                0.99113,                0.49067,                 0.9747,                0.99129,                0.94819,                0.99194,                  0.788,                0.75656,                0.39069,                0.91629,                0.80208,                0.28398,                0.93044,               0.007228,               0.007228,               0.007228
                     31,                0.87269,                0.49146,                0.94333,                0.99238,                0.47633,                0.97216,                0.97493,                0.96568,                 0.9928,                0.77048,                0.81929,                0.42435,                0.94017,                   0.87,                0.30675,                 0.9666,               0.007129,               0.007129,               0.007129
                     32,                0.88319,                0.49368,                0.94781,                  1.007,                0.49429,                0.97913,                0.95915,                0.96685,                0.99139,                0.78019,                0.79188,                 0.3956,                0.92743,                0.85518,                0.30411,                0.95198,                0.00703,                0.00703,                0.00703
                     33,                0.85182,                0.47396,                0.93898,                0.98188,                0.46328,                0.96939,                0.96976,                0.98824,                0.99349,                0.79884,                0.77586,                0.39659,                0.92322,                0.80389,                0.28205,                0.93872,               0.006931,               0.006931,               0.006931
                     34,                0.85158,                0.47246,                0.94138,                0.97071,                0.44509,                0.96611,                0.97437,                0.98156,                 0.9939,                0.78729,                0.77536,                0.37939,                0.92366,                0.83256,                0.27022,                0.94027,               0.006832,               0.006832,               0.006832
                     35,                0.84813,                0.45922,                0.93221,                0.96366,                 0.4451,                0.95747,                0.97555,                0.99068,                0.99417,                0.80385,                0.75814,                0.36899,                0.92218,                0.77269,                0.25029,                0.92967,               0.006733,               0.006733,               0.006733
                     36,                0.86697,                0.47848,                0.94386,                 0.9697,                 0.4388,                0.96767,                0.98351,                 0.9868,                0.99435,                0.79552,                0.74586,                0.38042,                0.91353,                0.79897,                 0.2475,                0.93759,               0.006634,               0.006634,               0.006634
                     37,                0.84819,                0.46683,                0.93842,                0.95846,                0.43047,                0.96562,                  0.963,                0.99324,                0.99309,                 0.7857,                0.78621,                0.37422,                0.92643,                0.81136,                0.25642,                 0.9411,               0.006535,               0.006535,               0.006535
                     38,                0.86219,                0.46949,                0.94103,                0.97181,                0.44055,                 0.9642,                0.97357,                0.97638,                0.99375,                0.80282,                0.76287,                0.37679,                0.92077,                0.77052,                0.25979,                0.92642,               0.006436,               0.006436,               0.006436
                     39,                 0.8356,                0.44541,                0.93313,                0.94353,                0.40793,                0.95837,                 0.9891,                0.97136,                0.99387,                0.80119,                0.75173,                0.36197,                0.91935,                0.79882,                0.24362,                0.94273,               0.006337,               0.006337,               0.006337
                     40,                0.84307,                0.44215,                0.93756,                0.95587,                0.40317,                0.96292,                 0.9699,                0.99724,                0.99448,                0.78298,                0.78605,                0.35994,                0.92685,                0.82311,                0.24632,                0.94144,               0.006238,               0.006238,               0.006238
                     41,                0.84542,                0.44886,                0.93543,                0.94832,                0.42126,                0.95814,                0.97758,                0.97333,                0.99156,                 0.8008,                0.75625,                0.36264,                0.91329,                0.76944,                0.26808,                0.92545,               0.006139,               0.006139,               0.006139
                     42,                0.83114,                0.44343,                0.93579,                0.94413,                0.43634,                0.96163,                0.96207,                0.98715,                0.99228,                0.81183,                0.73432,                0.36015,                0.91019,                 0.7578,                0.26695,                0.92849,                0.00604,                0.00604,                0.00604
                     43,                0.83292,                0.44504,                0.93023,                0.93847,                0.42129,                0.95351,                0.98679,                 0.9805,                0.99441,                0.80193,                0.75046,                0.35475,                0.90752,                0.76892,                0.24141,                0.92275,               0.005941,               0.005941,               0.005941
                     44,                0.82105,                 0.4396,                0.93029,                0.92247,                0.40362,                0.95145,                0.97784,                0.98338,                0.99428,                0.79312,                0.76875,                0.36154,                0.91446,                0.82206,                0.25406,                0.93661,               0.005842,               0.005842,               0.005842
                     45,                 0.8217,                0.43388,                0.92492,                0.91621,                0.39823,                0.94669,                0.99416,                0.99055,                0.99484,                0.80828,                0.75364,                0.34663,                0.91177,                0.77744,                0.21838,                0.92208,               0.005743,               0.005743,               0.005743
                     46,                0.82271,                0.42226,                0.92783,                0.93169,                0.37641,                0.95027,                 0.9859,                0.98512,                  0.994,                0.81232,                0.72217,                0.34347,                0.90317,                0.74902,                0.23149,                0.91627,               0.005644,               0.005644,               0.005644
                     47,                0.84197,                0.43313,                0.92714,                0.94586,                 0.3955,                0.95223,                 0.9907,                 0.9869,                0.99473,                0.81136,                 0.7386,                0.34977,                0.90859,                0.76272,                0.23522,                0.92218,               0.005545,               0.005545,               0.005545
                     48,                0.81335,                0.42732,                0.92505,                0.91372,                0.39332,                0.94322,                0.97385,                0.99476,                0.99432,                0.80098,                0.73956,                0.33615,                0.90557,                0.76852,                0.23958,                 0.9199,               0.005446,               0.005446,               0.005446
                     49,                0.81376,                0.41983,                0.92584,                0.91918,                0.39293,                0.94824,                 0.9958,                0.98863,                  0.995,                0.81562,                0.72605,                0.33667,                0.90385,                0.74144,                0.21415,                0.90981,               0.005347,               0.005347,               0.005347
                     50,                0.80608,                0.41086,                 0.9133,                0.90196,                0.37844,                0.93235,                0.99474,                0.98961,                0.99476,                0.81353,                0.73052,                0.34127,                0.90515,                0.74889,                0.22438,                0.91018,               0.005248,               0.005248,               0.005248
                     51,                0.80722,                0.40863,                0.92152,                0.90618,                0.36122,                0.94301,                0.98129,                0.99643,                0.99487,                0.80508,                0.73848,                0.33462,                0.90903,                0.76749,                0.22222,                0.92171,               0.005149,               0.005149,               0.005149
                     52,                0.80785,                0.41648,                0.92796,                0.90671,                0.37076,                0.94767,                0.99085,                0.98078,                 0.9943,                0.80885,                0.73921,                0.33617,                0.90824,                 0.7727,                0.22699,                0.91834,                0.00505,                0.00505,                0.00505
                     53,                0.79974,                0.41564,                0.92123,                0.88313,                0.37404,                0.93932,                0.98719,                0.99066,                0.99455,                0.80949,                0.72694,                0.33876,                0.90134,                0.74906,                0.22295,                0.91442,               0.004951,               0.004951,               0.004951
                     54,                0.80315,                0.40507,                0.91858,                0.88965,                0.36056,                0.93743,                0.99438,                0.97286,                0.99446,                0.80703,                0.71719,                0.33134,                0.89758,                0.75884,                0.23185,                0.91808,               0.004852,               0.004852,               0.004852
                     55,                0.80649,                0.40867,                0.92889,                0.89317,                 0.3705,                 0.9442,                0.99207,                0.99297,                  0.995,                0.80256,                0.73675,                0.33184,                0.90213,                0.76776,                0.21319,                0.91495,               0.004753,               0.004753,               0.004753
                     56,                0.79311,                0.39859,                0.92045,                0.87725,                0.34949,                0.93672,                0.97895,                0.99338,                 0.9946,                 0.8187,                0.71106,                 0.3257,                0.90024,                0.73804,                0.21154,                 0.9123,               0.004654,               0.004654,               0.004654
                     57,                0.79723,                0.39934,                 0.9211,                0.87639,                0.35526,                0.93411,                 0.9912,                0.99835,                0.99486,                0.81546,                0.73054,                0.32004,                0.90413,                0.74948,                0.20881,                0.91076,               0.004555,               0.004555,               0.004555
                     58,                0.79235,                0.39537,                0.91496,                0.88925,                0.34441,                0.93369,                0.99043,                0.99779,                0.99487,                 0.8077,                 0.7515,                 0.3277,                0.90692,                0.76485,                0.21747,                0.91436,               0.004456,               0.004456,               0.004456
                     59,                0.78967,                0.38814,                0.91087,                  0.887,                0.33915,                0.92986,                0.98805,                0.98226,                0.99484,                0.81463,                0.72067,                0.31543,                0.90246,                0.74166,                0.22483,                0.91357,               0.004357,               0.004357,               0.004357
                     60,                0.78732,                0.39327,                0.91163,                0.87558,                0.35542,                0.92801,                0.97685,                0.99158,                0.99409,                0.81938,                0.72704,                0.31994,                0.90347,                0.74007,                 0.2219,                0.90645,               0.004258,               0.004258,               0.004258
                     61,                0.78191,                0.38994,                0.91197,                0.87256,                0.33881,                0.93075,                 0.9871,                0.98645,                0.99441,                0.81356,                0.72296,                0.32161,                0.89875,                0.74458,                0.21733,                 0.9083,               0.004159,               0.004159,               0.004159
                     62,                0.77999,                0.38506,                0.90739,                0.87379,                0.34344,                0.92574,                0.98718,                0.99645,                0.99456,                0.81804,                0.72064,                0.31776,                 0.9033,                0.73925,                0.20905,                0.91012,                0.00406,                0.00406,                0.00406
                     63,                 0.7812,                0.38142,                0.91007,                0.86453,                0.33433,                0.92482,                0.97667,                0.99392,                 0.9944,                0.82032,                0.71388,                0.31487,                0.89841,                0.72098,                0.21262,                0.90461,               0.003961,               0.003961,               0.003961
                     64,                0.77406,                0.38522,                0.91182,                0.86241,                0.34349,                0.92732,                0.99464,                0.99858,                  0.995,                0.81128,                0.74871,                0.31644,                0.90689,                0.76281,                0.20709,                0.91371,               0.003862,               0.003862,               0.003862
                     65,                0.76777,                0.37783,                0.90742,                0.85472,                0.34969,                0.92481,                0.99386,                0.98026,                 0.9947,                0.81446,                0.72219,                0.31548,                0.89836,                 0.7505,                0.22288,                0.91071,               0.003763,               0.003763,               0.003763
                     66,                0.76128,                0.37655,                0.90384,                0.84122,                 0.3383,                0.91741,                0.98634,                0.99268,                0.99395,                0.80826,                0.72923,                0.31794,                0.89964,                0.75069,                0.22132,                0.91044,               0.003664,               0.003664,               0.003664
                     67,                0.76611,                 0.3748,                0.90749,                0.84524,                0.32062,                0.91942,                0.98002,                0.98936,                0.99346,                0.80415,                0.73009,                0.31174,                0.90113,                 0.7549,                0.22599,                0.91251,               0.003565,               0.003565,               0.003565
                     68,                0.77633,                0.38104,                 0.9069,                0.85946,                0.34038,                0.92173,                0.99047,                0.99479,                0.99474,                0.81883,                0.71582,                0.30974,                0.89772,                0.73171,                0.20634,                0.90382,               0.003466,               0.003466,               0.003466
                     69,                0.75126,                0.37004,                0.90546,                0.82863,                 0.3183,                0.91874,                0.97975,                0.98268,                0.99393,                0.81204,                0.71836,                0.30775,                0.89779,                0.73997,                0.23536,                0.90669,               0.003367,               0.003367,               0.003367
                     70,                0.76234,                0.36823,                0.90374,                0.84161,                0.31908,                0.91725,                0.98615,                0.99603,                  0.995,                0.80957,                0.72932,                 0.3085,                0.90401,                0.74835,                0.20996,                0.91548,               0.003268,               0.003268,               0.003268
                     71,                0.76757,                0.37243,                0.91043,                0.84982,                0.32293,                0.92467,                0.99379,                0.99238,                0.99493,                0.82089,                0.71792,                0.30568,                0.89822,                0.72979,                0.20366,                0.90381,               0.003169,               0.003169,               0.003169
                     72,                0.75439,                0.36848,                0.90161,                0.83178,                0.30874,                0.91473,                0.99387,                 0.9929,                0.99486,                0.81135,                0.71274,                0.30487,                0.89378,                0.73107,                0.20286,                0.90157,                0.00307,                0.00307,                0.00307
                     73,                 0.7553,                0.36386,                0.90476,                0.83243,                0.31295,                0.91639,                0.99102,                0.99937,                  0.995,                  0.826,                0.71448,                0.30444,                0.89297,                0.72555,                0.19571,                0.89977,               0.002971,               0.002971,               0.002971
                     74,                 0.7501,                0.35973,                0.89973,                0.81871,                0.30147,                0.91041,                0.99593,                0.98974,                0.99455,                0.81183,                0.71437,                0.29824,                0.89807,                 0.7274,                0.19816,                0.90456,               0.002872,               0.002872,               0.002872
