epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8798,1.40284,3.26284,1.09569,0.66128,0.79997,0.74057,0.53109,1.07322,2.14108,1.02386,0.070125,0.00331944,0.00331944
2,66.5605,1.24128,1.45668,1.06824,0.84855,0.84147,0.87302,0.61682,1.08211,1.39475,1.06379,0.0400591,0.00658692,0.00658692
3,96.7155,1.20559,1.24917,1.05745,0.74497,0.46194,0.60155,0.37775,1.48225,2.5328,1.30419,0.00992728,0.00978839,0.00978839
4,129.914,1.20223,1.15039,1.06894,0.85587,0.78428,0.89564,0.64598,1.05923,1.39328,1.06639,0.009703,0.009703,0.009703
5,164.895,1.16594,1.06382,1.05907,0.94448,0.97591,0.9837,0.73453,0.95621,0.86473,1.03161,0.009604,0.009604,0.009604
6,197.622,1.12322,0.95521,1.03582,0.95018,0.96124,0.98615,0.74731,0.92904,0.82862,1.00836,0.009505,0.009505,0.009505
7,228.207,1.08319,0.87239,1.02475,0.96456,0.98109,0.99111,0.75554,0.90704,0.76165,0.99798,0.009406,0.009406,0.009406
8,257.814,1.06303,0.83075,1.01327,0.98175,0.97365,0.99148,0.75327,0.89996,0.66807,0.99513,0.009307,0.009307,0.009307
9,288.796,1.03895,0.79718,1.00856,0.95391,0.96786,0.98859,0.70999,1.03994,0.78582,1.0434,0.009208,0.009208,0.009208
10,319.175,1.02101,0.75096,1.00255,0.98895,1,0.995,0.75054,0.93108,0.59749,0.98996,0.009109,0.009109,0.009109
11,350.076,0.99913,0.6928,0.99251,0.98444,1,0.99442,0.77072,0.86898,0.55764,0.9689,0.00901,0.00901,0.00901
12,380.475,0.99149,0.68958,0.98386,0.98883,0.99949,0.99463,0.77885,0.87738,0.54544,0.97648,0.008911,0.008911,0.008911
13,410.286,0.99313,0.66134,0.97897,0.992,0.99285,0.99001,0.77379,0.87221,0.50588,0.97481,0.008812,0.008812,0.008812
14,439.781,0.97852,0.6459,0.98692,0.98988,0.9961,0.99491,0.77094,0.86919,0.5282,0.96995,0.008713,0.008713,0.008713
15,469.274,0.97249,0.62044,0.97737,0.99683,0.99687,0.995,0.79671,0.81003,0.50791,0.95123,0.008614,0.008614,0.008614
16,498.928,0.95645,0.60218,0.96941,0.99587,1,0.995,0.78572,0.84268,0.48587,0.96365,0.008515,0.008515,0.008515
17,528.516,0.95438,0.59401,0.96961,0.99123,0.99763,0.9949,0.7833,0.83225,0.4841,0.94944,0.008416,0.008416,0.008416
18,558.012,0.93842,0.57437,0.96102,0.98962,1,0.995,0.79774,0.81898,0.46719,0.94298,0.008317,0.008317,0.008317
19,587.684,0.93393,0.57146,0.96159,0.99302,1,0.995,0.77556,0.84591,0.462,0.96003,0.008218,0.008218,0.008218
20,617.267,0.93229,0.56576,0.96177,0.98652,0.99363,0.995,0.78927,0.83296,0.45906,0.95675,0.008119,0.008119,0.008119
21,646.794,0.92456,0.55295,0.95093,0.99399,1,0.995,0.77297,0.89509,0.48755,0.98226,0.00802,0.00802,0.00802
22,676.308,0.92063,0.54561,0.95982,0.99135,0.99792,0.995,0.80192,0.80769,0.43695,0.93925,0.007921,0.007921,0.007921
23,705.968,0.90948,0.53669,0.95259,0.99032,1,0.99354,0.79855,0.82012,0.42784,0.94258,0.007822,0.007822,0.007822
24,735.39,0.89047,0.53189,0.95098,0.99227,0.99944,0.995,0.78651,0.82206,0.41875,0.94838,0.007723,0.007723,0.007723
25,766.12,0.907,0.53466,0.95233,0.99434,0.99847,0.995,0.80255,0.81473,0.41404,0.94007,0.007624,0.007624,0.007624
26,796.73,0.90306,0.52676,0.95339,0.99363,0.99161,0.98802,0.7917,0.79899,0.41457,0.93955,0.007525,0.007525,0.007525
27,828.156,0.89273,0.5074,0.94689,0.99657,1,0.995,0.80569,0.79505,0.40053,0.93764,0.007426,0.007426,0.007426
28,859.408,0.88274,0.50269,0.95061,0.99117,0.99645,0.99231,0.79622,0.81369,0.39701,0.94265,0.007327,0.007327,0.007327
29,889.435,0.89675,0.50564,0.94461,0.99451,1,0.995,0.80226,0.79879,0.38684,0.93928,0.007228,0.007228,0.007228
30,928.961,0.88767,0.49617,0.93989,0.99599,1,0.995,0.80531,0.7843,0.37757,0.93341,0.007129,0.007129,0.007129
31,972.811,0.89335,0.49446,0.94761,0.99478,1,0.995,0.80884,0.77227,0.38229,0.92448,0.00703,0.00703,0.00703
32,1017.17,0.88468,0.48842,0.94416,0.98921,1,0.995,0.81514,0.77679,0.37717,0.93084,0.006931,0.006931,0.006931
33,1061.93,0.87697,0.47889,0.94323,0.99256,0.99612,0.995,0.8131,0.76865,0.37298,0.92528,0.006832,0.006832,0.006832
34,1106.32,0.86715,0.47773,0.94159,0.99386,1,0.995,0.80945,0.78722,0.37562,0.92855,0.006733,0.006733,0.006733
35,1149.87,0.88305,0.48715,0.93821,0.99616,0.99713,0.995,0.81006,0.78912,0.37775,0.92796,0.006634,0.006634,0.006634
36,1193.52,0.87671,0.48051,0.9439,0.9972,1,0.995,0.80282,0.81214,0.37994,0.93758,0.006535,0.006535,0.006535
37,1237.22,0.85991,0.46126,0.92874,0.99586,1,0.995,0.81226,0.77344,0.37121,0.92528,0.006436,0.006436,0.006436
38,1280.8,0.84877,0.46013,0.93344,0.99656,0.99864,0.995,0.80907,0.80303,0.37021,0.92837,0.006337,0.006337,0.006337
39,1323.83,0.84141,0.46574,0.93068,0.99619,0.99572,0.995,0.81702,0.7877,0.36547,0.93096,0.006238,0.006238,0.006238
40,1368.04,0.85378,0.45879,0.92849,0.99219,1,0.995,0.81612,0.77237,0.36305,0.9192,0.006139,0.006139,0.006139
41,1411.19,0.85314,0.45678,0.93319,0.99665,1,0.995,0.8068,0.80402,0.36832,0.93854,0.00604,0.00604,0.00604
42,1454.39,0.853,0.4629,0.93509,0.99376,1,0.995,0.80812,0.78183,0.36248,0.92919,0.005941,0.005941,0.005941
43,1498.02,0.84152,0.4611,0.9243,0.9953,1,0.995,0.82037,0.7503,0.35552,0.90936,0.005842,0.005842,0.005842
44,1542.26,0.84547,0.45219,0.92088,0.9971,1,0.995,0.8066,0.78899,0.35693,0.92583,0.005743,0.005743,0.005743
45,1586.4,0.8454,0.44598,0.92745,0.99637,1,0.995,0.81697,0.75816,0.36113,0.90793,0.005644,0.005644,0.005644
46,1629.79,0.83355,0.44778,0.93077,0.99487,1,0.995,0.81518,0.76662,0.34134,0.91551,0.005545,0.005545,0.005545
47,1672.35,0.8258,0.43763,0.92355,0.99477,1,0.995,0.80764,0.79022,0.35626,0.92301,0.005446,0.005446,0.005446
48,1715.19,0.84031,0.44684,0.9238,0.99697,1,0.995,0.80936,0.76662,0.34704,0.91693,0.005347,0.005347,0.005347
49,1758.63,0.82737,0.43661,0.92511,0.99642,1,0.995,0.82252,0.75926,0.34449,0.91593,0.005248,0.005248,0.005248
50,1802.11,0.82351,0.43455,0.92346,0.99719,1,0.995,0.81479,0.77138,0.35509,0.91833,0.005149,0.005149,0.005149
51,1845.82,0.83472,0.43664,0.92097,0.99554,1,0.995,0.81483,0.77325,0.34327,0.91798,0.00505,0.00505,0.00505
52,1890.12,0.80926,0.42792,0.92436,0.99661,1,0.995,0.81482,0.75464,0.33448,0.91461,0.004951,0.004951,0.004951
53,1933.48,0.81447,0.4267,0.92269,0.99398,0.99677,0.995,0.82005,0.76201,0.33901,0.91384,0.004852,0.004852,0.004852
54,1977.07,0.81515,0.42183,0.91832,0.99664,1,0.995,0.8171,0.7631,0.33913,0.90973,0.004753,0.004753,0.004753
55,2021.16,0.8039,0.42192,0.91341,0.99604,0.99861,0.995,0.82557,0.71966,0.33387,0.90001,0.004654,0.004654,0.004654
56,2065.65,0.81243,0.41857,0.92232,0.9958,1,0.995,0.82983,0.74139,0.33116,0.90718,0.004555,0.004555,0.004555
57,2110.02,0.81096,0.41795,0.92039,0.99618,1,0.995,0.82901,0.73282,0.32495,0.90375,0.004456,0.004456,0.004456
58,2154.42,0.81014,0.41617,0.9211,0.99454,1,0.995,0.82756,0.72967,0.32599,0.9041,0.004357,0.004357,0.004357
59,2198.4,0.80567,0.40842,0.91825,0.99534,1,0.995,0.83058,0.72831,0.32715,0.90011,0.004258,0.004258,0.004258
60,2242.69,0.79876,0.4116,0.91613,0.99645,1,0.995,0.81937,0.74627,0.34187,0.90741,0.004159,0.004159,0.004159
61,2286.72,0.80198,0.40567,0.91308,0.99682,1,0.995,0.8269,0.7531,0.33615,0.90844,0.00406,0.00406,0.00406
62,2330.37,0.79105,0.39808,0.90777,0.99666,1,0.995,0.82867,0.73881,0.32175,0.90376,0.003961,0.003961,0.003961
63,2374.22,0.79693,0.39928,0.91648,0.9958,1,0.995,0.83016,0.74275,0.32802,0.90546,0.003862,0.003862,0.003862
64,2417.11,0.79317,0.39239,0.91412,0.99527,1,0.995,0.82363,0.75507,0.31476,0.90395,0.003763,0.003763,0.003763
65,2459.79,0.78597,0.39274,0.90989,0.99652,1,0.995,0.83217,0.7225,0.31227,0.90303,0.003664,0.003664,0.003664
66,2503.06,0.78648,0.39073,0.90744,0.99699,1,0.995,0.8305,0.7216,0.32021,0.89749,0.003565,0.003565,0.003565
67,2546.04,0.78503,0.3897,0.91271,0.9965,1,0.995,0.82809,0.72687,0.31757,0.899,0.003466,0.003466,0.003466
68,2588.9,0.7826,0.39095,0.91164,0.99667,1,0.995,0.81831,0.73763,0.31971,0.9056,0.003367,0.003367,0.003367
69,2631.92,0.77533,0.38434,0.90218,0.99499,1,0.995,0.83249,0.72682,0.31583,0.90003,0.003268,0.003268,0.003268
70,2675.24,0.77113,0.38047,0.90912,0.99513,1,0.995,0.8326,0.72624,0.31232,0.90351,0.003169,0.003169,0.003169
71,2718.99,0.7708,0.38306,0.90776,0.99567,1,0.995,0.83141,0.71215,0.30618,0.89841,0.00307,0.00307,0.00307
72,2762.76,0.77474,0.38613,0.90595,0.99566,1,0.995,0.83225,0.72748,0.31353,0.89879,0.002971,0.002971,0.002971
73,2805.96,0.75852,0.37609,0.89447,0.99272,1,0.99434,0.8317,0.72046,0.30561,0.89916,0.002872,0.002872,0.002872
74,2849.1,0.77242,0.37815,0.90709,0.9957,1,0.995,0.83833,0.70874,0.30525,0.89535,0.002773,0.002773,0.002773
75,2893.29,0.76283,0.37574,0.90054,0.99604,1,0.995,0.83601,0.72483,0.31133,0.89747,0.002674,0.002674,0.002674
76,2937.12,0.75663,0.36562,0.90776,0.9966,1,0.995,0.83119,0.72531,0.30718,0.9008,0.002575,0.002575,0.002575
77,2981.66,0.76482,0.37142,0.90191,0.99458,1,0.995,0.83387,0.7072,0.30583,0.89512,0.002476,0.002476,0.002476
78,3025.71,0.75367,0.37088,0.90869,0.99685,1,0.995,0.82908,0.71572,0.30206,0.89553,0.002377,0.002377,0.002377
79,3069.14,0.74574,0.36052,0.89574,0.99642,1,0.995,0.82908,0.72413,0.30046,0.89708,0.002278,0.002278,0.002278
80,3112.22,0.74894,0.36175,0.89962,0.99614,1,0.995,0.83169,0.72424,0.29462,0.90008,0.002179,0.002179,0.002179
81,3154.93,0.74932,0.36225,0.89542,0.99606,1,0.995,0.84208,0.70502,0.29539,0.89118,0.00208,0.00208,0.00208
82,3197.59,0.73681,0.35465,0.89459,0.99596,1,0.995,0.8278,0.72939,0.30385,0.89722,0.001981,0.001981,0.001981
83,3241.05,0.73803,0.35791,0.89484,0.99633,1,0.995,0.83485,0.72706,0.2992,0.89767,0.001882,0.001882,0.001882
84,3285.05,0.74746,0.35535,0.90179,0.99629,1,0.995,0.83922,0.71466,0.28907,0.89524,0.001783,0.001783,0.001783
85,3328.7,0.72905,0.35002,0.89178,0.99685,1,0.995,0.83618,0.7161,0.2963,0.89616,0.001684,0.001684,0.001684
86,3372.38,0.74403,0.35844,0.89924,0.99634,1,0.995,0.83445,0.71545,0.29264,0.89299,0.001585,0.001585,0.001585
87,3416.25,0.71711,0.34117,0.8856,0.99651,1,0.995,0.83505,0.72377,0.29316,0.89583,0.001486,0.001486,0.001486
88,3458.69,0.73626,0.34528,0.88954,0.99671,1,0.995,0.83768,0.70422,0.28957,0.88936,0.001387,0.001387,0.001387
89,3501.87,0.73037,0.34964,0.89559,0.99669,1,0.995,0.83649,0.71266,0.29457,0.89044,0.001288,0.001288,0.001288
90,3544.02,0.72808,0.33692,0.88362,0.99733,0.99928,0.995,0.84119,0.71138,0.28652,0.89105,0.001189,0.001189,0.001189
91,3588.12,0.69239,0.30934,0.89634,0.99314,1,0.99413,0.83712,0.71327,0.29137,0.88863,0.00109,0.00109,0.00109
92,3631.39,0.67426,0.30254,0.89287,0.99229,1,0.9942,0.83693,0.70732,0.28842,0.89156,0.000991,0.000991,0.000991
93,3675.18,0.69105,0.30455,0.89891,0.99582,1,0.995,0.83392,0.69955,0.28719,0.88864,0.000892,0.000892,0.000892
94,3718.83,0.68544,0.30166,0.89932,0.99662,1,0.995,0.83659,0.70403,0.29042,0.88938,0.000793,0.000793,0.000793
95,3761.73,0.67976,0.29572,0.89289,0.99633,1,0.995,0.84011,0.70059,0.2846,0.88803,0.000694,0.000694,0.000694
96,3803.65,0.67566,0.29619,0.88697,0.99685,1,0.995,0.83652,0.69724,0.28449,0.88708,0.000595,0.000595,0.000595
97,3846.78,0.67802,0.29498,0.88684,0.99667,1,0.995,0.84284,0.70231,0.28454,0.88653,0.000496,0.000496,0.000496
98,3890.78,0.66101,0.28643,0.88774,0.99651,1,0.995,0.84361,0.7005,0.28247,0.88561,0.000397,0.000397,0.000397
99,3933.58,0.66542,0.28628,0.88852,0.99686,1,0.995,0.84221,0.68905,0.27794,0.88433,0.000298,0.000298,0.000298
100,3976.57,0.66345,0.28732,0.88972,0.99352,1,0.995,0.84159,0.69316,0.28035,0.8844,0.000199,0.000199,0.000199
