               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023932,           0.0045526,           0.0023653,             0.99735,                   1,               0.995,             0.75977,            0.018481,           0.0027845,           0.0012332,            0.006535,            0.006535,            0.006535
                  37,            0.023004,           0.0046799,           0.0022449,             0.99509,                   1,               0.995,             0.78023,            0.017656,           0.0027348,            0.001017,            0.006436,            0.006436,            0.006436
                  38,             0.02229,           0.0044633,           0.0021757,             0.99599,                   1,               0.995,             0.78814,            0.018865,           0.0027404,           0.0009833,            0.006337,            0.006337,            0.006337
                  39,            0.022416,           0.0045451,           0.0020751,             0.99653,                   1,               0.995,             0.78104,            0.018806,           0.0027196,          0.00093702,            0.006238,            0.006238,            0.006238
                  40,             0.02233,           0.0044471,           0.0020634,             0.99701,                   1,               0.995,             0.77595,            0.018064,           0.0026779,           0.0010911,            0.006139,            0.006139,            0.006139
                  41,            0.022206,           0.0045051,           0.0022056,             0.99605,                   1,               0.995,              0.7906,             0.01674,           0.0026534,          0.00094247,             0.00604,             0.00604,             0.00604
                  42,             0.02168,           0.0045969,            0.001817,             0.99604,                   1,               0.995,             0.79655,            0.017014,           0.0026162,          0.00090388,            0.005941,            0.005941,            0.005941
                  43,            0.021372,           0.0043778,           0.0018363,             0.99708,             0.99928,               0.995,             0.78811,            0.017069,            0.002647,          0.00082974,            0.005842,            0.005842,            0.005842
                  44,              0.0211,           0.0043261,           0.0018282,             0.99778,                   1,               0.995,             0.80166,            0.016755,           0.0026724,          0.00085593,            0.005743,            0.005743,            0.005743
                  45,            0.020775,           0.0042861,           0.0017409,               0.997,                   1,               0.995,             0.79116,            0.016748,           0.0025901,          0.00082657,            0.005644,            0.005644,            0.005644
                  46,             0.02167,           0.0043647,           0.0018312,             0.99552,                   1,               0.995,             0.79772,            0.016457,           0.0026028,          0.00097279,            0.005545,            0.005545,            0.005545
                  47,            0.020884,           0.0043056,           0.0016491,             0.99364,                   1,               0.995,             0.79115,            0.017225,           0.0026251,          0.00083157,            0.005446,            0.005446,            0.005446
                  48,            0.020152,           0.0042712,           0.0015578,              0.9973,              0.9996,               0.995,             0.80238,            0.016416,           0.0025417,          0.00074191,            0.005347,            0.005347,            0.005347
                  49,            0.019992,            0.004352,           0.0014749,             0.99691,                   1,               0.995,             0.81297,            0.015776,           0.0025698,          0.00069056,            0.005248,            0.005248,            0.005248
                  50,            0.020144,           0.0044004,           0.0013958,             0.99612,                   1,               0.995,             0.80962,            0.015882,           0.0025609,          0.00074194,            0.005149,            0.005149,            0.005149
                  51,            0.020157,           0.0043591,           0.0014931,             0.99569,                   1,               0.995,             0.80989,            0.015662,           0.0024742,          0.00074013,             0.00505,             0.00505,             0.00505
                  52,             0.01974,           0.0041879,           0.0015213,             0.99635,                   1,               0.995,             0.81726,            0.015227,           0.0024967,          0.00072957,            0.004951,            0.004951,            0.004951
                  53,            0.019818,           0.0042978,           0.0016129,             0.99674,                   1,               0.995,             0.80035,            0.016134,           0.0025497,           0.0007312,            0.004852,            0.004852,            0.004852
                  54,            0.019974,           0.0042842,            0.001579,             0.99689,                   1,               0.995,             0.81326,             0.01584,            0.002483,          0.00067325,            0.004753,            0.004753,            0.004753
                  55,            0.019782,           0.0042086,           0.0016159,             0.99587,                   1,               0.995,             0.79566,            0.016094,           0.0025403,          0.00066125,            0.004654,            0.004654,            0.004654
                  56,            0.020133,           0.0042492,           0.0015236,             0.99542,                   1,               0.995,              0.8058,             0.01557,           0.0025018,          0.00067498,            0.004555,            0.004555,            0.004555
                  57,            0.019413,           0.0042418,            0.001374,             0.99643,                   1,               0.995,             0.81119,            0.016223,           0.0025054,          0.00067969,            0.004456,            0.004456,            0.004456
                  58,            0.019716,           0.0041624,            0.001418,             0.99731,                   1,               0.995,             0.80344,            0.016054,           0.0025507,          0.00065864,            0.004357,            0.004357,            0.004357
                  59,            0.019122,           0.0041859,           0.0014411,             0.99811,                   1,               0.995,             0.79631,            0.015916,           0.0024932,          0.00057339,            0.004258,            0.004258,            0.004258
