                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4669,                0.85699,                0.97637,                0.96593,                0.96808,                0.98866,                0.59721,                 1.3967,                0.66363,                0.95039,               0.006535,               0.006535,               0.006535
                     37,                 1.4887,                0.86868,                0.99001,                0.95723,                0.96054,                0.98612,                0.60526,                  1.373,                0.68247,                0.94027,               0.006436,               0.006436,               0.006436
                     38,                 1.4952,                 0.8669,                0.98908,                0.95877,                0.97383,                0.98433,                0.58275,                 1.4043,                0.70961,                0.95066,               0.006337,               0.006337,               0.006337
                     39,                 1.4567,                0.84563,                 0.9752,                0.95517,                0.97764,                0.99049,                0.60515,                 1.3745,                0.66524,                0.94756,               0.006238,               0.006238,               0.006238
                     40,                 1.4946,                0.86851,                0.98567,                0.97106,                0.98118,                0.99183,                0.61248,                 1.3647,                 0.6841,                0.94359,               0.006139,               0.006139,               0.006139
                     41,                 1.4562,                0.83631,                0.96433,                0.96951,                0.97707,                0.99173,                0.60668,                 1.3824,                0.65194,                0.94635,                0.00604,                0.00604,                0.00604
                     42,                 1.4687,                0.83816,                0.97449,                 0.9584,                0.98675,                 0.9925,                0.60572,                  1.386,                0.65477,                0.94234,               0.005941,               0.005941,               0.005941
                     43,                 1.4345,                0.81662,                0.96487,                0.94909,                0.98081,                0.98974,                0.59382,                 1.4209,                0.66037,                0.95475,               0.005842,               0.005842,               0.005842
                     44,                 1.4423,                0.84023,                0.96816,                0.96429,                 0.9614,                0.98678,                0.60788,                 1.3674,                0.64502,                0.94224,               0.005743,               0.005743,               0.005743
                     45,                  1.448,                0.80531,                0.96459,                0.97852,                0.95641,                0.99269,                 0.6177,                 1.3478,                0.64648,                0.93318,               0.005644,               0.005644,               0.005644
                     46,                 1.4365,                0.82157,                0.96341,                0.97296,                0.99211,                 0.9938,                0.62332,                 1.3499,                0.64249,                0.93813,               0.005545,               0.005545,               0.005545
                     47,                 1.4236,                0.77604,                0.97488,                0.96871,                0.97866,                0.99261,                0.60605,                 1.4007,                 0.6388,                0.94267,               0.005446,               0.005446,               0.005446
                     48,                 1.4137,                0.78347,                 0.9604,                0.95619,                 0.9806,                0.98926,                0.61886,                  1.363,                0.62876,                0.93536,               0.005347,               0.005347,               0.005347
                     49,                 1.4066,                0.77945,                0.95711,                 0.9583,                0.98452,                0.99283,                0.63101,                 1.3255,                0.63639,                0.93512,               0.005248,               0.005248,               0.005248
                     50,                 1.3971,                0.77538,                0.95868,                0.97516,                0.97106,                0.99311,                0.62799,                 1.3568,                0.63483,                0.93837,               0.005149,               0.005149,               0.005149
                     51,                 1.4026,                0.77591,                0.95435,                0.98049,                0.98249,                0.99277,                0.62817,                 1.3239,                 0.6227,                0.92654,                0.00505,                0.00505,                0.00505
                     52,                 1.4065,                0.79044,                0.96012,                0.95741,                0.98519,                  0.992,                0.62328,                 1.3661,                 0.6218,                 0.9441,               0.004951,               0.004951,               0.004951
                     53,                 1.3841,                0.75625,                 0.9529,                0.95983,                0.97517,                0.99082,                0.64137,                 1.3361,                0.62579,                0.92824,               0.004852,               0.004852,               0.004852
                     54,                 1.3759,                0.74411,                0.94577,                0.98171,                0.98547,                0.99242,                0.62094,                 1.3698,                0.62579,                0.92879,               0.004753,               0.004753,               0.004753
                     55,                 1.4012,                0.75783,                0.96622,                0.97393,                0.97091,                 0.9933,                0.64198,                 1.3319,                0.61093,                0.92837,               0.004654,               0.004654,               0.004654
                     56,                 1.3686,                0.74991,                0.95042,                 0.9801,                0.96807,                0.99055,                 0.6288,                  1.356,                0.60758,                0.93345,               0.004555,               0.004555,               0.004555
                     57,                 1.3706,                0.74711,                0.94984,                0.98324,                0.98529,                0.99439,                0.61893,                 1.3606,                0.59754,                0.93075,               0.004456,               0.004456,               0.004456
                     58,                 1.3777,                0.73578,                0.95918,                0.98514,                0.98964,                0.99159,                0.63131,                 1.3583,                0.60111,                0.93124,               0.004357,               0.004357,               0.004357
                     59,                 1.3841,                0.74683,                  0.949,                0.98217,                0.98293,                0.99232,                0.63015,                 1.3231,                0.60317,                0.92994,               0.004258,               0.004258,               0.004258
                     60,                 1.3781,                 0.7549,                0.94472,                0.98905,                0.98438,                0.99296,                0.65121,                 1.3027,                0.58678,                0.92333,               0.004159,               0.004159,               0.004159
                     61,                 1.3641,                0.74553,                0.95339,                0.98363,                0.98608,                 0.9935,                0.64551,                 1.3022,                  0.588,                 0.9237,                0.00406,                0.00406,                0.00406
                     62,                  1.391,                0.75697,                0.94399,                0.98925,                0.98581,                0.99258,                0.64448,                 1.2995,                0.57743,                0.92171,               0.003961,               0.003961,               0.003961
                     63,                 1.3797,                0.72956,                0.95533,                0.98661,                0.98135,                0.99207,                0.63668,                 1.3334,                0.58084,                0.92885,               0.003862,               0.003862,               0.003862
                     64,                 1.3493,                0.72408,                0.93991,                0.98735,                0.99052,                0.99319,                0.64342,                 1.3227,                 0.5802,                0.92698,               0.003763,               0.003763,               0.003763
                     65,                 1.3466,                 0.7082,                0.94185,                0.98873,                0.98314,                0.99303,                0.64368,                 1.3063,                0.57884,                0.92194,               0.003664,               0.003664,               0.003664
                     66,                 1.3275,                0.70497,                0.93283,                0.97704,                0.98952,                0.99328,                0.64284,                 1.3222,                0.58652,                0.92608,               0.003565,               0.003565,               0.003565
                     67,                 1.3305,                0.70565,                0.93745,                0.98015,                0.97815,                0.99449,                0.65096,                 1.2982,                0.56999,                0.91686,               0.003466,               0.003466,               0.003466
