epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1686.38,1.49563,0.89624,0.96721,0.96697,0.97904,0.99086,0.60651,1.3972,0.69213,0.94109,0.005743,0.005743,0.005743
45,1730.56,1.46932,0.85276,0.9782,0.95347,0.94875,0.99008,0.61586,1.38004,0.67693,0.94395,0.005644,0.005644,0.005644
46,1773.66,1.44466,0.8532,0.96675,0.97511,0.97198,0.98847,0.60455,1.37098,0.68368,0.93806,0.005545,0.005545,0.005545
47,1816.04,1.44689,0.85246,0.96616,0.97786,0.96844,0.99394,0.60453,1.39431,0.65916,0.94737,0.005446,0.005446,0.005446
48,1858.01,1.44461,0.85728,0.95884,0.96312,0.94389,0.98719,0.6043,1.42838,0.68614,0.95463,0.005347,0.005347,0.005347
49,1899.69,1.44874,0.84538,0.96077,0.96736,0.96963,0.99089,0.6053,1.3691,0.65651,0.94066,0.005248,0.005248,0.005248
50,1943.01,1.44733,0.84989,0.95671,0.95342,0.99079,0.99187,0.63412,1.34104,0.65579,0.93601,0.005149,0.005149,0.005149
51,1987.03,1.41744,0.81021,0.96266,0.96352,0.97584,0.9858,0.61075,1.36878,0.64794,0.93815,0.00505,0.00505,0.00505
52,2031.25,1.45627,0.86632,0.98007,0.94707,0.96291,0.98298,0.6106,1.37721,0.64413,0.94456,0.004951,0.004951,0.004951
53,2075.13,1.44324,0.81623,0.97025,0.95527,0.98966,0.99278,0.62585,1.34509,0.62393,0.93576,0.004852,0.004852,0.004852
54,2118.79,1.40779,0.7917,0.94716,0.97618,0.94751,0.99113,0.62915,1.33923,0.63917,0.92803,0.004753,0.004753,0.004753
55,2163.15,1.411,0.80829,0.95393,0.96739,0.96112,0.98672,0.64014,1.32732,0.63208,0.92611,0.004654,0.004654,0.004654
56,2207.67,1.39992,0.80466,0.95304,0.96298,0.97497,0.99238,0.62692,1.34504,0.6345,0.93446,0.004555,0.004555,0.004555
57,2251.63,1.41153,0.80987,0.95619,0.97452,0.97823,0.98945,0.61951,1.34326,0.6374,0.93376,0.004456,0.004456,0.004456
58,2296.34,1.39941,0.80331,0.95476,0.97584,0.96645,0.98912,0.63484,1.3377,0.63999,0.92928,0.004357,0.004357,0.004357
59,2339.76,1.39943,0.78413,0.95087,0.9701,0.9547,0.98987,0.62913,1.36365,0.63031,0.93331,0.004258,0.004258,0.004258
60,2383.72,1.40032,0.77171,0.95066,0.97099,0.98146,0.98827,0.6352,1.34887,0.62729,0.93374,0.004159,0.004159,0.004159
61,2428.3,1.39206,0.77578,0.9556,0.97512,0.97621,0.9888,0.63055,1.34313,0.60397,0.93534,0.00406,0.00406,0.00406
62,2472.81,1.38337,0.77623,0.95315,0.9732,0.96906,0.98958,0.6355,1.32298,0.6117,0.92498,0.003961,0.003961,0.003961
63,2516.39,1.36357,0.76254,0.95427,0.97955,0.98295,0.99127,0.63517,1.32202,0.59426,0.92442,0.003862,0.003862,0.003862
64,2560.2,1.36432,0.75044,0.9431,0.98074,0.98997,0.99248,0.63484,1.33376,0.59267,0.92756,0.003763,0.003763,0.003763
65,2603.22,1.35177,0.73241,0.94499,0.97307,0.98571,0.99266,0.63861,1.32367,0.60197,0.92182,0.003664,0.003664,0.003664
66,2646.23,1.36341,0.74622,0.94494,0.97698,0.98546,0.99323,0.64639,1.32107,0.60373,0.91848,0.003565,0.003565,0.003565
67,2690.37,1.36545,0.74468,0.94654,0.96756,0.97512,0.98984,0.63365,1.32983,0.60524,0.92297,0.003466,0.003466,0.003466
68,2734.11,1.34705,0.73073,0.94319,0.9747,0.97212,0.99154,0.63599,1.36132,0.61009,0.93154,0.003367,0.003367,0.003367
69,2778.25,1.33813,0.74215,0.9389,0.98206,0.97463,0.99027,0.6354,1.31845,0.58932,0.92196,0.003268,0.003268,0.003268
70,2820.06,1.34702,0.72647,0.93946,0.97223,0.97555,0.99137,0.64617,1.31454,0.60074,0.91979,0.003169,0.003169,0.003169
71,2863.95,1.35148,0.71934,0.94037,0.9848,0.98765,0.9925,0.63965,1.33018,0.58857,0.92364,0.00307,0.00307,0.00307
72,2908.49,1.37153,0.72048,0.9466,0.97852,0.98464,0.99389,0.64752,1.31984,0.58239,0.9255,0.002971,0.002971,0.002971
73,2952.69,1.32242,0.71293,0.93189,0.98344,0.9812,0.99163,0.64134,1.31993,0.57391,0.92526,0.002872,0.002872,0.002872
74,2997.53,1.33077,0.71265,0.93709,0.9906,0.98177,0.99449,0.65011,1.30706,0.57732,0.91876,0.002773,0.002773,0.002773
