epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.789,2.3727,4.83629,1.29235,0.16886,0.54937,0.23683,0.10005,2.11682,4.3654,1.13596,0.070125,0.00331944,0.00331944
2,90.3381,2.19259,3.10012,1.19401,0.25259,0.38467,0.24909,0.10596,2.24267,2.97659,1.2669,0.0400591,0.00658692,0.00658692
3,135.576,2.26965,2.90584,1.2487,0.23202,0.32539,0.20864,0.07741,2.36519,3.15846,1.25076,0.00992728,0.00978839,0.00978839
4,181.803,2.31352,2.83652,1.24467,0.34322,0.50401,0.37501,0.16225,2.03098,2.70568,1.18787,0.009703,0.009703,0.009703
5,227.34,2.20477,2.50421,1.21737,0.29816,0.40932,0.27209,0.10826,2.09045,2.71154,1.20234,0.009604,0.009604,0.009604
6,272.69,2.04971,2.22833,1.17897,0.36592,0.69085,0.50206,0.21771,1.96964,2.07856,1.17707,0.009505,0.009505,0.009505
7,316.27,1.99929,2.05204,1.15208,0.40805,0.48687,0.42431,0.17955,2.06297,2.189,1.22583,0.009406,0.009406,0.009406
8,360.706,1.92789,1.96116,1.13107,0.44757,0.62288,0.52905,0.24041,1.83931,1.77584,1.11623,0.009307,0.009307,0.009307
9,404.709,1.91362,1.85321,1.11952,0.50968,0.60865,0.55345,0.26488,1.78051,1.73598,1.1013,0.009208,0.009208,0.009208
10,448.786,1.85122,1.735,1.10541,0.55332,0.7245,0.67192,0.32046,1.74846,1.45983,1.07195,0.009109,0.009109,0.009109
11,492.699,1.86596,1.6357,1.10967,0.53556,0.7448,0.68111,0.33437,1.71596,1.46826,1.07609,0.00901,0.00901,0.00901
12,536.946,1.81045,1.57564,1.08802,0.67168,0.74237,0.76987,0.38824,1.68501,1.36848,1.05118,0.008911,0.008911,0.008911
13,583.458,1.79194,1.506,1.07538,0.61239,0.75471,0.79508,0.4132,1.64247,1.54501,1.039,0.008812,0.008812,0.008812
14,628.901,1.73992,1.42137,1.05744,0.70326,0.78004,0.82113,0.43172,1.62758,1.24655,1.03209,0.008713,0.008713,0.008713
15,673.532,1.77121,1.43171,1.06289,0.78528,0.7506,0.85079,0.44952,1.60357,1.35544,1.03278,0.008614,0.008614,0.008614
16,718.542,1.76844,1.37623,1.07901,0.66247,0.75305,0.80281,0.43553,1.59824,1.29857,1.03398,0.008515,0.008515,0.008515
