                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6076,                 1.0352,                 1.0263,                 1.7542,                 1.1863,                  1.027,                0.84839,                0.85253,                0.93671,                0.55534,                 1.4405,                0.83174,                0.97122,                 1.5188,                0.72258,                0.97954,               0.007822,               0.007822,               0.007822
                     25,                  1.576,                 1.0231,                 1.0186,                  1.739,                 1.1648,                 1.0153,                0.87475,                0.92549,                0.95563,                0.54689,                 1.5006,                0.80816,                0.98965,                 1.5659,                0.65061,                0.99719,               0.007723,               0.007723,               0.007723
                     26,                 1.5776,                 1.0166,                 1.0144,                 1.7397,                 1.1701,                 1.0101,                0.85127,                0.83517,                0.91398,                0.52744,                 1.4761,                0.81518,                0.98401,                 1.5404,                0.74021,                0.99745,               0.007624,               0.007624,               0.007624
                     27,                 1.6074,                 1.0281,                 1.0125,                 1.7365,                 1.1508,                  1.006,                0.80333,                0.82588,                0.89759,                0.52336,                 1.4579,                0.87953,                 0.9788,                 1.5084,                0.78092,                 0.9891,               0.007525,               0.007525,               0.007525
                     28,                 1.5863,                 1.0016,                  1.016,                 1.7396,                   1.15,                 1.0118,                0.91786,                0.86337,                0.94857,                0.55753,                 1.4304,                0.76234,                0.97877,                 1.4958,                0.61308,                0.98461,               0.007426,               0.007426,               0.007426
                     29,                 1.5843,                0.98588,                 1.0036,                 1.7304,                 1.0938,                0.99771,                0.85918,                0.86589,                0.94261,                0.53454,                 1.4909,                0.80097,                0.97857,                 1.5615,                0.70548,                0.99415,               0.007327,               0.007327,               0.007327
                     30,                  1.535,                0.95214,                 1.0033,                 1.6636,                 1.0619,                0.99235,                0.86437,                0.88982,                0.93902,                0.53821,                  1.465,                 0.7568,                0.97174,                   1.54,                0.67206,                0.99165,               0.007228,               0.007228,               0.007228
                     31,                 1.5432,                0.97461,                 1.0027,                 1.6956,                  1.091,                0.99969,                0.89994,                0.87557,                0.95258,                0.56439,                 1.4342,                0.73337,                0.97288,                 1.4563,                0.58542,                0.97549,               0.007129,               0.007129,               0.007129
                     32,                 1.5497,                0.93323,                 1.0066,                 1.6763,                 1.0574,                0.99449,                0.90802,                0.91655,                0.96342,                0.57154,                 1.4079,                0.70077,                0.96264,                 1.4969,                0.57323,                0.97605,                0.00703,                0.00703,                0.00703
                     33,                 1.5282,                0.91934,                 1.0086,                 1.6577,                 1.0523,                0.99841,                  0.884,                0.93773,                0.96271,                0.56817,                 1.4591,                0.73753,                0.98197,                 1.4906,                 0.6174,                0.97941,               0.006931,               0.006931,               0.006931
                     34,                 1.5652,                0.94464,                 1.0183,                 1.7024,                 1.0447,                 1.0098,                0.93304,                0.92429,                0.97126,                0.58847,                 1.4324,                 0.7162,                0.97446,                 1.4474,                0.52487,                0.97372,               0.006832,               0.006832,               0.006832
                     35,                 1.5352,                0.96245,                0.99725,                 1.6664,                 1.0503,                0.99546,                0.89864,                0.92624,                0.95929,                0.59319,                 1.4239,                0.72378,                0.96591,                 1.4305,                0.56804,                 0.9652,               0.006733,               0.006733,               0.006733
                     36,                 1.5011,                0.90918,                0.99353,                 1.6271,                0.98999,                0.98558,                0.89732,                 0.8984,                0.96362,                0.59069,                 1.3922,                0.72792,                0.95138,                 1.4633,                0.58059,                0.96331,               0.006634,               0.006634,               0.006634
                     37,                 1.5301,                0.90646,                 1.0077,                  1.641,                 1.0122,                 0.9982,                0.89639,                0.90042,                0.94683,                0.57382,                 1.4134,                0.75325,                0.95507,                 1.4818,                0.58733,                0.97107,               0.006535,               0.006535,               0.006535
                     38,                 1.5136,                0.90866,                 1.0023,                 1.6435,                 1.0047,                0.99532,                0.96243,                0.93957,                0.97344,                0.57641,                 1.4259,                 0.6822,                0.96585,                 1.4674,                0.53648,                0.97982,               0.006436,               0.006436,               0.006436
                     39,                 1.4721,                0.87709,                0.98484,                 1.6069,                0.94981,                 0.9822,                0.96244,                 0.9077,                0.97607,                0.59621,                  1.381,                0.68694,                0.95189,                 1.4578,                 0.5185,                0.97348,               0.006337,               0.006337,               0.006337
                     40,                 1.5095,                0.87746,                0.99662,                 1.6534,                0.94584,                 0.9909,                0.94656,                 0.9211,                0.97667,                0.58998,                 1.3888,                0.68133,                0.95748,                 1.4052,                0.50875,                 0.9643,               0.006238,               0.006238,               0.006238
                     41,                 1.4909,                0.85804,                0.97903,                 1.6272,                0.92829,                0.98018,                0.93692,                0.91637,                0.97643,                0.60054,                 1.3714,                0.67055,                0.94705,                 1.4221,                0.50642,                0.96107,               0.006139,               0.006139,               0.006139
                     42,                 1.5063,                0.87547,                0.98785,                 1.6337,                0.95428,                0.98489,                0.90636,                0.91561,                0.96001,                0.58373,                 1.3831,                0.69794,                0.95083,                 1.4516,                0.56173,                0.97101,                0.00604,                0.00604,                0.00604
                     43,                 1.4758,                 0.8486,                0.98183,                 1.6199,                0.89114,                0.98124,                0.94464,                0.94275,                0.97611,                0.58454,                 1.4316,                0.67729,                0.96385,                 1.4916,                0.50619,                0.98077,               0.005941,               0.005941,               0.005941
                     44,                 1.4671,                0.87511,                0.98126,                  1.604,                0.93872,                 0.9781,                0.90443,                 0.9303,                0.96223,                0.57598,                 1.3956,                0.70748,                0.95757,                 1.4356,                0.55102,                0.96929,               0.005842,               0.005842,               0.005842
                     45,                 1.4697,                0.84504,                0.97783,                 1.6124,                0.88852,                0.97809,                0.95008,                0.94613,                0.97604,                0.58383,                 1.4054,                 0.6716,                0.95633,                 1.4729,                0.48917,                0.97535,               0.005743,               0.005743,               0.005743
                     46,                 1.4635,                0.83583,                 0.9777,                 1.5834,                0.89717,                0.97262,                 0.9165,                0.86416,                0.95224,                0.58547,                 1.3894,                0.72048,                0.94966,                   1.45,                0.57943,                0.96464,               0.005644,               0.005644,               0.005644
                     47,                 1.4547,                0.82188,                0.98992,                 1.5946,                0.85321,                0.98684,                0.94257,                0.93413,                0.97152,                 0.5825,                 1.4435,                0.67994,                0.96287,                 1.4872,                0.51041,                0.97574,               0.005545,               0.005545,               0.005545
                     48,                 1.4432,                0.80317,                0.97119,                 1.5684,                0.82947,                0.96867,                0.92176,                 0.9173,                 0.9731,                0.60038,                 1.3704,                0.67317,                 0.9445,                 1.4103,                0.52398,                0.95701,               0.005446,               0.005446,               0.005446
                     49,                 1.4484,                0.80861,                0.97231,                 1.5681,                0.85518,                0.96858,                0.92804,                0.89365,                 0.9606,                0.59758,                 1.3653,                0.69953,                0.94355,                  1.418,                0.53874,                 0.9603,               0.005347,               0.005347,               0.005347
                     50,                 1.4297,                0.81382,                0.96906,                 1.5793,                0.86526,                0.97187,                0.92436,                 0.9381,                0.97356,                0.59749,                 1.3577,                0.66121,                0.93719,                  1.409,                0.50089,                0.95578,               0.005248,               0.005248,               0.005248
                     51,                 1.4068,                0.78609,                0.96166,                 1.5332,                 0.8027,                0.96351,                0.91409,                0.96447,                0.98007,                0.62396,                 1.3271,                0.66652,                0.93078,                 1.3706,                0.47325,                0.94498,               0.005149,               0.005149,               0.005149
                     52,                 1.4336,                0.82478,                0.97181,                 1.5726,                0.87149,                0.97364,                0.91868,                 0.9625,                0.98667,                0.59868,                 1.3773,                 0.6573,                0.94404,                 1.4296,                0.45167,                0.96618,                0.00505,                0.00505,                0.00505
                     53,                 1.4034,                0.79146,                 0.9639,                 1.5411,                 0.8129,                0.96531,                0.93694,                0.92883,                0.97058,                0.61767,                 1.3359,                0.61465,                0.93106,                   1.39,                 0.4516,                0.94258,               0.004951,               0.004951,               0.004951
                     54,                 1.4174,                0.77248,                0.96229,                 1.5521,                0.83027,                0.96088,                0.95296,                 0.9449,                0.98371,                0.62517,                 1.3283,                 0.6142,                0.92817,                 1.3698,                0.41411,                 0.9466,               0.004852,               0.004852,               0.004852
