               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.2712,                1.75,              1.3602,             0.81232,             0.74616,             0.85273,             0.45611,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.2772,               1.707,              1.3444,             0.78517,             0.79784,             0.87046,             0.46327,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.2689,              1.6637,              1.3305,              0.7617,             0.82505,             0.84771,             0.42895,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.2544,              1.6445,              1.3524,             0.81534,             0.78752,             0.87107,             0.46505,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,               2.244,               1.616,              1.3453,              0.8168,             0.76503,             0.87377,             0.46733,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,               2.238,              1.5993,              1.3426,             0.90959,             0.76372,              0.9001,             0.45981,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.2236,              1.5637,              1.3453,             0.81265,             0.79479,             0.87499,             0.46102,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.2443,              1.6118,              1.3334,             0.80411,             0.69001,             0.84561,             0.43485,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,               2.191,              1.5327,              1.3202,             0.84009,             0.78939,             0.89672,             0.48498,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              2.2287,              1.5658,               1.337,             0.81605,             0.85259,             0.90936,              0.4854,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,               2.195,              1.5425,              1.3301,             0.73619,             0.80603,             0.84924,             0.45386,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              2.1647,              1.5423,              1.3265,             0.83517,             0.81011,             0.89963,             0.48936,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              2.1736,               1.501,              1.3205,             0.81766,             0.82762,             0.91241,             0.49756,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              2.1723,              1.4676,              1.3272,             0.81828,              0.7797,             0.87364,             0.47084,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              2.1809,              1.4976,              1.3281,             0.82076,             0.78369,             0.88466,             0.49831,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              2.1186,              1.4578,               1.303,             0.86652,              0.8116,             0.92431,              0.5086,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              2.0985,              1.4229,              1.3004,             0.82597,             0.86143,             0.90976,             0.49693,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              2.1474,              1.4413,              1.3029,             0.88765,              0.8515,             0.92089,             0.51109,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              2.1394,              1.4123,              1.3163,             0.82535,             0.88428,             0.91743,             0.51417,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              2.0852,              1.3909,              1.2873,             0.86363,             0.85834,              0.9277,             0.51402,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              2.1172,              1.4157,              1.2867,             0.86831,             0.86221,             0.92991,             0.52128,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              2.0897,              1.4105,              1.3056,             0.87965,             0.90025,             0.95045,             0.53429,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              2.0423,              1.3688,              1.2802,             0.89693,             0.88852,             0.94632,             0.52688,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              2.1046,              1.4064,              1.2982,             0.87934,             0.88254,             0.95431,             0.53602,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              2.0865,              1.3673,              1.2937,              0.8511,             0.90413,             0.94147,             0.53487,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              2.0565,              1.3648,              1.2913,             0.91279,             0.85189,             0.95028,             0.55498,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              2.0275,              1.3234,              1.2813,             0.86668,             0.87832,              0.9366,             0.53833,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.0186,              1.3296,              1.2833,             0.89122,             0.91296,             0.95309,             0.54624,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.0436,              1.3301,              1.2821,             0.87735,             0.90555,             0.95268,             0.54901,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              2.0728,              1.3333,               1.285,             0.89515,             0.92076,             0.95987,             0.54009,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              2.0046,              1.2845,              1.2754,              0.8958,             0.91694,             0.96087,             0.54611,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              2.0139,              1.2851,              1.2809,             0.91674,             0.90145,             0.95704,             0.53718,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.9741,              1.2625,              1.2658,             0.89909,             0.91756,             0.95664,             0.53982,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              2.0124,              1.2858,              1.2942,             0.90892,             0.89875,             0.96062,             0.54218,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.9623,              1.2358,               1.263,             0.89771,             0.93467,             0.96533,             0.55714,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.9603,              1.2201,              1.2695,              0.9276,             0.94825,             0.96711,             0.55354,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.9781,              1.2325,              1.2732,             0.92022,             0.89609,             0.95939,             0.55527,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.9766,              1.2206,              1.2706,             0.93131,             0.91792,              0.9677,             0.55826,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.9604,              1.2293,              1.2698,             0.91213,             0.91929,              0.9604,             0.55829,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.9592,              1.2427,               1.277,             0.91486,             0.91996,             0.96489,             0.56676,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,               1.956,              1.2206,              1.2738,             0.89504,             0.94848,             0.96335,             0.56163,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.9348,              1.2075,              1.2611,             0.86117,             0.90676,             0.95007,             0.55286,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.9544,              1.1965,              1.2574,             0.89511,             0.94594,             0.96715,             0.55767,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.9448,              1.1964,               1.252,             0.94036,             0.92312,             0.97094,             0.57366,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.9319,              1.1826,              1.2539,             0.91153,             0.95122,              0.9743,             0.56698,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.8927,              1.1327,              1.2523,              0.9096,             0.94743,              0.9768,              0.5727,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.8859,              1.1611,              1.2422,             0.94146,              0.9194,             0.97917,              0.5821,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.9042,              1.1591,              1.2504,             0.93411,             0.93952,             0.97585,             0.58275,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.9086,               1.141,              1.2564,             0.93665,             0.93916,             0.97245,             0.58245,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.9167,              1.1415,              1.2567,             0.93941,             0.95124,             0.97719,              0.5827,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.8763,              1.1108,              1.2369,               0.935,             0.95146,             0.97901,             0.58645,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.8607,              1.1177,              1.2311,             0.94668,             0.94741,             0.97927,             0.59604,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.8681,              1.1473,               1.236,             0.94701,             0.93557,             0.97568,             0.58905,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.8619,              1.0982,              1.2375,             0.95705,             0.93806,             0.98039,             0.59471,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.8728,              1.1036,              1.2336,             0.94723,             0.94944,              0.9805,             0.58474,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.8493,              1.0949,              1.2284,             0.94977,             0.94237,             0.98123,             0.57939,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.8542,              1.0961,              1.2413,             0.94647,             0.94104,             0.98219,             0.58874,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.8433,               1.105,              1.2288,             0.95244,             0.93171,              0.9786,             0.59594,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.8704,              1.0908,              1.2408,             0.93432,              0.9399,             0.98059,             0.59335,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.8391,              1.0978,              1.2328,             0.94385,             0.94666,              0.9811,             0.59697,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
