               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038245,           0.0052148,            0.014662,             0.86937,             0.89026,             0.94066,             0.48244,            0.031842,           0.0032734,            0.010446,            0.006535,            0.006535,            0.006535
                  37,            0.038553,           0.0052545,            0.013929,             0.89546,             0.91807,             0.95702,              0.4954,            0.030386,           0.0032112,           0.0089366,            0.006436,            0.006436,            0.006436
                  38,            0.037638,           0.0052066,            0.013084,             0.90104,             0.90411,             0.95901,             0.51085,            0.030171,           0.0032085,           0.0086473,            0.006337,            0.006337,            0.006337
                  39,            0.037648,           0.0051885,            0.013665,             0.93054,             0.87391,             0.95901,             0.52699,            0.029567,           0.0032269,           0.0084643,            0.006238,            0.006238,            0.006238
                  40,            0.036904,           0.0051646,             0.01225,             0.91854,             0.94688,             0.96426,             0.52465,            0.030235,           0.0032158,           0.0080236,            0.006139,            0.006139,            0.006139
                  41,            0.036397,           0.0049391,            0.011791,             0.92759,             0.91462,             0.97081,             0.52813,            0.029515,           0.0031555,           0.0073978,             0.00604,             0.00604,             0.00604
                  42,            0.035974,           0.0050662,            0.011093,             0.92274,             0.91491,             0.96983,             0.52214,             0.02963,           0.0031651,           0.0060369,            0.005941,            0.005941,            0.005941
                  43,             0.03774,           0.0052114,            0.011318,             0.95667,              0.8856,             0.96475,             0.51441,            0.029411,           0.0032013,           0.0068705,            0.005842,            0.005842,            0.005842
                  44,            0.036537,           0.0050644,            0.010927,             0.93862,             0.94188,              0.9679,             0.52401,            0.029215,           0.0031241,           0.0052431,            0.005743,            0.005743,            0.005743
                  45,             0.03706,           0.0048758,            0.010174,             0.94172,             0.96783,             0.98258,             0.54031,            0.029442,           0.0031315,           0.0046644,            0.005644,            0.005644,            0.005644
                  46,             0.03687,           0.0051302,            0.010388,             0.95722,             0.96249,             0.97753,             0.53108,            0.028814,             0.00317,           0.0047121,            0.005545,            0.005545,            0.005545
                  47,            0.035924,           0.0050641,           0.0098762,             0.95921,             0.93419,             0.97302,             0.51512,            0.029939,            0.003149,           0.0044971,            0.005446,            0.005446,            0.005446
                  48,            0.035903,           0.0050396,           0.0089527,             0.94152,             0.91866,              0.9701,             0.53451,            0.028769,           0.0031288,            0.004491,            0.005347,            0.005347,            0.005347
                  49,            0.035919,           0.0051001,            0.011239,              0.9506,             0.94067,              0.9673,             0.53732,            0.028413,           0.0031195,           0.0045381,            0.005248,            0.005248,            0.005248
                  50,            0.035825,           0.0050466,           0.0097519,             0.95013,             0.94703,             0.97552,             0.54692,            0.028693,           0.0031266,           0.0037775,            0.005149,            0.005149,            0.005149
                  51,            0.034801,           0.0049456,           0.0091785,              0.9475,             0.95312,             0.97952,             0.55595,            0.028202,           0.0030589,           0.0033927,             0.00505,             0.00505,             0.00505
                  52,            0.035134,           0.0048512,           0.0093588,             0.97479,             0.96306,             0.98608,             0.57297,            0.027057,           0.0030505,            0.003839,            0.004951,            0.004951,            0.004951
                  53,            0.034051,           0.0048499,           0.0093592,             0.94919,             0.92255,             0.97078,             0.54659,            0.028232,           0.0030938,           0.0038445,            0.004852,            0.004852,            0.004852
                  54,            0.034385,           0.0048281,           0.0082525,             0.95177,             0.98051,             0.98151,             0.56525,            0.027475,           0.0030082,           0.0027721,            0.004753,            0.004753,            0.004753
                  55,            0.034308,           0.0048252,           0.0077553,             0.96236,              0.9712,             0.98513,             0.54456,            0.029505,           0.0029818,           0.0030809,            0.004654,            0.004654,            0.004654
                  56,            0.034768,            0.004902,           0.0074751,             0.92824,             0.96274,             0.98016,              0.5585,            0.028153,           0.0030268,           0.0026259,            0.004555,            0.004555,            0.004555
                  57,            0.033778,           0.0049228,           0.0076201,             0.95577,             0.97216,             0.97966,             0.56128,             0.02716,           0.0029698,           0.0029768,            0.004456,            0.004456,            0.004456
                  58,            0.034741,           0.0047768,           0.0073661,             0.96162,             0.95446,             0.98001,             0.58406,            0.027604,           0.0029573,           0.0025901,            0.004357,            0.004357,            0.004357
                  59,            0.033149,           0.0047944,           0.0073374,             0.95835,             0.94376,             0.98051,             0.57413,            0.026549,           0.0029479,           0.0030766,            0.004258,            0.004258,            0.004258
                  60,            0.033653,           0.0045654,           0.0070122,             0.96672,              0.9779,             0.98161,              0.5713,            0.026597,           0.0029923,           0.0023827,            0.004159,            0.004159,            0.004159
                  61,            0.033399,            0.004789,           0.0076093,             0.96641,             0.96117,             0.98597,             0.57885,            0.026925,           0.0030295,           0.0030099,             0.00406,             0.00406,             0.00406
                  62,            0.032933,           0.0048262,           0.0068045,             0.97703,             0.96165,             0.98804,             0.57783,            0.026562,           0.0029265,           0.0023851,            0.003961,            0.003961,            0.003961
                  63,            0.032975,           0.0046058,           0.0072354,             0.98398,             0.96101,             0.98231,             0.57059,            0.026685,           0.0029493,           0.0025165,            0.003862,            0.003862,            0.003862
                  64,            0.032345,           0.0047395,           0.0068897,             0.96293,             0.96504,             0.97745,             0.57796,            0.026441,           0.0029817,           0.0025546,            0.003763,            0.003763,            0.003763
                  65,            0.033618,           0.0046875,           0.0079582,             0.97434,             0.97852,              0.9922,             0.57678,            0.025764,           0.0029307,           0.0020419,            0.003664,            0.003664,            0.003664
                  66,            0.032367,           0.0045311,           0.0055765,               0.969,             0.97281,              0.9815,             0.59087,            0.026808,           0.0028775,           0.0018924,            0.003565,            0.003565,            0.003565
                  67,            0.032521,           0.0046563,           0.0058671,             0.96625,             0.97449,             0.98216,             0.59327,            0.025585,           0.0029165,           0.0019106,            0.003466,            0.003466,            0.003466
                  68,            0.032331,           0.0045106,           0.0065971,             0.96352,             0.98615,              0.9905,             0.59501,            0.025621,           0.0028862,           0.0018493,            0.003367,            0.003367,            0.003367
                  69,            0.032466,           0.0047136,           0.0060777,             0.97822,             0.98649,             0.98837,             0.60203,            0.025728,           0.0028977,           0.0013471,            0.003268,            0.003268,            0.003268
                  70,            0.031409,            0.004553,           0.0054976,             0.96988,             0.97499,             0.98405,             0.59683,             0.02526,            0.002871,           0.0017863,            0.003169,            0.003169,            0.003169
                  71,            0.031251,           0.0047495,           0.0059454,             0.97043,             0.97483,             0.98534,             0.58895,            0.026066,           0.0028651,           0.0016901,             0.00307,             0.00307,             0.00307
                  72,            0.031375,            0.004448,           0.0060404,             0.97986,             0.97887,             0.98851,             0.59518,            0.026533,           0.0028564,           0.0013103,            0.002971,            0.002971,            0.002971
                  73,            0.032158,           0.0046761,           0.0062141,              0.9687,             0.97603,             0.98306,             0.57523,            0.026603,           0.0028857,           0.0018745,            0.002872,            0.002872,            0.002872
